user_id	interested_news_id
U100	N53465
U1000	N1789
U10001	N46444 N51706
U10003	N41668
U10008	N30148 N33117 N33876 N38870
U10011	N1604 N40442 N52109
U10012	N5270 N58871 N63906
U10014	N25292 N63656
U10015	N3900
U10017	N10559 N18285 N20391 N24075 N30884 N43512 N64408
U1002	N35729 N37811
U10022	N17292 N20746 N3259 N39677 N40716 N51706 N59649 N63491 N8082 N9674
U10023	N12978 N21970 N41122 N42457 N55949
U10025	N10843 N24473 N3841 N45016 N51692 N51977 N58264 N634
U10026	N14761 N43226
U10027	N10398 N10629 N15476 N17975 N21741 N22260 N23732 N27938 N36565 N3820 N40442 N43955 N48613 N50538 N53315 N59761 N61826 N62055 N62634 N6354 N8148 N9854
U1003	N11484 N14742 N55043 N58641
U10032	N28279
U10034	N53585 N55204 N8148
U10039	N10845 N12493 N14689 N27341 N27526 N28853 N40376 N42726 N45523 N53057
U1004	N24809 N3841 N63180 N64955
U10040	N41285
U10042	N22880 N37811 N40839
U10043	N11004 N245 N35923 N38787 N45648 N50852 N53973 N62439
U10044	N10897 N14724 N51706
U10045	N21428 N23554 N24180 N26606 N4408 N49990 N52196 N62055
U10046	N43955
U10047	N13785
U10048	N34952 N57485
U10049	N20746 N40791 N51706 N53907
U10050	N27581 N53350
U10051	N38182 N40716 N55043
U10052	N30473 N45395 N56586 N59852 N9457
U10053	N35439 N42726 N55043
U10055	N28299 N51636 N63054
U10058	N1825 N42137 N55204 N60170
U10059	N51706 N63074
U1006	N34476 N58078
U10060	N21970 N63970
U10061	N13526 N20916 N6890
U10062	N10764 N10897 N12845 N13935 N14417 N14761 N16804 N19638 N22705 N22976 N26009 N26272 N28058 N30121 N3500 N41298 N48657 N48699 N51388 N51706 N53585 N54377 N58641 N58871 N61174 N871 N9674
U10063	N24187 N34399 N37120
U10064	N16631 N63970
U10065	N32069 N37497
U10066	N13087 N871
U10070	N21519 N29128 N57886 N61880 N62318
U10071	N22354 N27526 N61826
U10072	N32069 N37352 N46655
U10075	N49458 N8148
U10076	N28576 N33828 N36609 N49699 N64408 N8422
U10077	N4837
U10078	N41881 N63970
U10082	N19638
U10083	N21202 N30163 N38182 N61575
U10085	N16215 N19152 N19913 N23414 N24406 N2691 N32069 N35108 N39978 N48819 N51111 N53585
U10086	N41651 N43955
U10087	N22270 N27526 N28702
U10091	N34069
U10092	N64787
U10096	N10629 N14340 N20049 N2937 N2952 N3491 N36780 N3863 N42421 N49262 N53585 N54125 N56967 N58111 N62546 N63054 N63906 N64273
U10098	N18285 N18697 N25113 N26401 N2823 N28702 N2994 N32872 N34564 N3542 N37033 N37160 N40716 N40839 N42137 N51706 N5325 N54842 N55202 N56889 N58264 N59231 N60112 N62957 N63180 N871 N9186
U10099	N14185 N14724 N19397 N22260 N24187 N26421 N32456 N44361 N51706
U10100	N36095 N48325
U10101	N24919 N52447 N8978
U10102	N48742 N64513
U10103	N10559 N10897 N11940 N12020 N13011 N13139 N14901 N21970 N25158 N25604 N3259 N33170 N33781 N33964 N34869 N37033 N37134 N38215 N39430 N42137 N43903 N45807 N46504 N47435 N47508 N47814 N48124 N52631 N54469 N56889 N58410 N62634 N63180 N63656 N63906 N63970 N63979 N8422 N871 N8834
U10104	N20335 N22260 N23732 N24913 N25881 N30842 N32069 N3243 N34415 N3863 N42421 N44251 N4648 N48124 N49262 N50575 N55937 N6905 N8978
U10105	N10843
U10108	N12859 N53585
U10109	N33964
U1011	N21019 N28229 N28576 N57886
U10110	N19542 N23414 N31100
U10111	N11675 N51706
U10112	N17663 N18697 N56586 N57239 N64408
U10113	N14742 N40839
U10120	N2288 N25471 N41881
U10121	N18863 N21019 N64734
U10122	N36888 N63970
U10123	N12813 N18404 N2078 N28203 N41298 N44070 N54842 N56889 N57239
